연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2023,3분기  ,대전  ,554,611,719
2023,3분기  ,울산  ,0,641,0
2023,3분기  ,세종  ,0,0,0
2023,3분기  ,강원  ,408,461,481
2023,3분기  ,충북  ,0,0,427
2023,3분기  ,충남  ,198,208,0
2023,3분기  ,전북  ,0,371,402
2023,3분기  ,전남  ,435,421,0
2023,3분기  ,경북  ,449,369,351
2023,3분기  ,경남  ,319,376,450
2023,3분기  ,제주  ,496,908,428
2023,4분기  ,서울  ,1196,1130,1216
2023,4분기  ,경기  ,772,569,579
2023,4분기  ,인천  ,571,544,490
2023,4분기  ,부산  ,576,545,491
2023,4분기  ,대구  ,0,0,0
2023,4분기  ,광주  ,0,502,0
2023,4분기  ,대전  ,546,525,554
2023,4분기  ,울산  ,427,480,0
2023,4분기  ,세종  ,0,0,0
2023,4분기  ,강원  ,478,506,536
2023,4분기  ,충북  ,126,395,390
2023,4분기  ,충남  ,383,391,434
2023,4분기  ,전북  ,0,353,402
2023,4분기  ,전남  ,0,0,0
2023,4분기  ,경북  ,0,394,394
2023,4분기  ,경남  ,336,449,468
2023,4분기  ,제주  ,0,566,0
2024,1분기  ,서울  ,1836,1902,3801
2024,1분기  ,경기  ,635,571,762
2024,1분기  ,인천  ,0,673,674
2024,1분기  ,부산  ,663,895,4186
2024,1분기  ,대구  ,0,774,824
2024,1분기  ,광주  ,772,518,544
2024,1분기  ,대전  ,500,534,0
2024,1분기  ,울산  ,0,747,0
2024,1분기  ,세종  ,0,0,0
2024,1분기  ,강원  ,150,355,461
2024,1분기  ,충북  ,426,429,436
2024,1분기  ,충남  ,0,415,437
2024,1분기  ,전북  ,451,454,488
2024,1분기  ,전남  ,0,346,457
2024,1분기  ,경북  ,0,484,509
2024,1분기  ,경남  ,0,446,0
2024,1분기  ,제주  ,0,710,779
2024,2분기  ,서울  ,1153,1345,1259
2024,2분기  ,경기  ,880,560,652
2024,2분기  ,인천  ,487,538,0
2024,2분기  ,부산  ,661,593,820
2024,2분기  ,대구  ,417,610,570
2024,2분기  ,광주  ,656,671,720
2024,2분기  ,대전  ,526,584,787
2024,2분기  ,울산  ,747,692,0
2024,2분기  ,세종  ,0,0,0
