공고명,공고시작일,공고종료일,공고등록일
"(수정)광주역세권, 동탄(2), 광교, 고덕 토지공급 사전안내",2022-04-21,2022-12-31,2022-04-21
광주역세권 1단계 준공에 따른 소유권이전등기 서류교부 안내,2022-04-11,2023-04-11,2022-04-11
"다산신도시(지금지구) 업무,상업,주차장 용지 공급 사전 안내",2022-04-08,2022-12-31,2022-04-08
가평달전 도시개발사업 단독주택용지 공급공고,2022-04-08,2022-12-31,2022-04-08
광주역세권 도시개발사업 대토보상(조성)토지 정정공고,2022-03-23,2022-12-31,2022-03-23
광주역세권 도시개발사업 대토보상(조성)토지 공급공고,2022-03-17,2022-12-31,2022-03-17
광주역세권 도시개발사업 1단계 면적정산 안내,2022-03-11,2022-12-31,2022-03-11
(수정공고)화성동탄(2) 공영차고지 공급가격 산정을 위한 감정평가법인 선정 공고문,2022-01-17,2022-12-31,2022-01-17
화성동탄(2) 공영차고지 공급가격 산정을 위한 감정평가법인 선정 공고문,2022-01-04,2022-12-31,2022-01-04
광주역세권 도시개발사업 협의양도인택지 전산추첨 결과,2021-12-23,2021-12-31,2021-12-23
광주역세권 도시개발사업 협의양도인택지 공급공고(D4),2021-12-09,2022-12-31,2021-12-09
광교택지 근린생활시설용지 및 주차장용지 재공급공고,2021-11-30,2021-12-31,2021-11-30
광주역세권 도시개발사업 이주자택지 공급공고(D4),2021-11-05,2022-11-04,2021-11-05
[중단공고]경기경제자유구역(구 황해경제자유구역) 평택 포승(BIX)지구 공동주택용지(A-1) 수의계약 중단 공고,2021-11-01,2021-12-31,2021-11-01
"화성동탄(2) 점포겸용 단독주택용지 재공급공고(D20,D21)",2021-10-18,2021-12-31,2021-10-18
화성동탄(2) 근린생활시설용지 및 근린상업용지 재공급공고,2021-10-18,2021-12-31,2021-10-18
고덕국제화계획지구(택지) 1단계 준공구역 「소유권이전등기」 안내,2019-10-28,2019-11-30,2019-10-28
화성동탄(2) 택지(2단계) 소유권이전등기 서류교부 안내문,2019-12-26,2019-12-31,2019-12-26
고양관광문화단지 단독주택용지 및 다산신도시(진건) 주유소용지 입찰결과,2021-09-15,2022-09-14,2021-09-15
평택고덕국제화계획지구 주거전용 단독주택용지 재공급공고(Fd-7),2021-09-08,2021-10-08,2021-09-08
