사업지구명,블록명,위치,공급유형,세대수,준공예정일
창원용원(행복주택),업무3,경상남도 창원시 진해구 용원동 1346번지 1346-1,행복주택,180,2026-05-30
남양주진접2,A-1,경기도 남양주시 진접읍,공공분양,920,2028-02-29
남양주진접2,A-2,경기도 남양주시 진접읍 사업승인,영구임대,316,2028-06-30
남양주진접2,A-2,경기도 남양주시 진접읍 사업승인,행복주택,300,2028-06-30
남양주진접2,A-3,경기도 남양주시 진접읍,공공분양,208,2029-08-31
남양주진접2,A-3,경기도 남양주시 진접읍,행복주택,158,2029-08-31
남양주진접2,A-4,경기도 남양주시 진접읍,공공분양,255,2028-04-30
남양주진접2,A-4,경기도 남양주시 진접읍,행복주택,193,2028-04-30
남양주진접2,A-9,경기도 남양주시 진접읍,국민임대,314,2028-06-30
남양주진접2,A-9,경기도 남양주시 진접읍,행복주택,252,2028-06-30
남양주진접2,A-7,경기도 남양주시 진접읍,공공분양,405,2028-11-30
남양주진접2,A-7,경기도 남양주시 진접읍,공공임대(6년),305,2028-11-30
남양주진접2,B-1,경기도 남양주시 진접읍,공공분양,260,2028-08-31
청주지북(뉴스테이),A4,충청북도 청주시 상당구 지북동,행복주택,254,2026-01-31
청주지북(뉴스테이),B1,충청북도 청주시 상당구 지북동 청주지북 공공지원 민간임대주택 공급촉진지구 내 B-1BL,공공분양,757,2028-06-30
청주지북(뉴스테이),B1,충청북도 청주시 상당구 지북동 청주지북 공공지원 민간임대주택 공급촉진지구 내 B-1BL,공공임대(6년),383,2028-06-30
청주지북(뉴스테이),A5,충청북도 청주시 상당구 지북동,행복주택,488,2026-02-28
광주장덕 C-20BL,C-20,광주광역시 광산구 장덕동 1293번지,행복주택,209,2026-12-30
원주무실,A-1,강원특별자치도 원주시 무실동 무실동 일원,공공임대(6년),580,2028-02-28
원주무실,A-2,강원특별자치도 원주시 무실동 무실동 일원,공공분양,295,2028-04-30
원주무실,A-2,강원특별자치도 원주시 무실동 무실동 일원,공공임대(6년),265,2028-04-30
밀양부북,A1,경상남도 밀양시 부북면,공공분양,426,2028-09-30
밀양부북,A1,경상남도 밀양시 부북면,통합공공임대,318,2028-09-30
대구연호,A1,대구광역시 수성구 연호동,공공분양,926,2028-11-30
대구연호,A1,대구광역시 수성구 연호동,공공임대(10년),468,2028-11-30
대구연호,A2,대구광역시 수성구 연호동,통합공공임대,622,2027-09-30
대구연호,A3,대구광역시 수성구 연호동,통합공공임대,526,2027-09-30
순천도시첨단산단,A-1,전라남도 순천시 야흥동,행복주택,300,2027-03-31
인천산곡(행복주택),A-1,인천광역시 부평구 산곡동 70-8번지외 2개 필지,행복주택,400,2026-11-30
군포대야미,A-1,경기도 군포시 대야미동,공공임대(6년),378,2028-09-29
군포대야미,A-2,경기도 군포시 대야미동,공공분양,1003,2028-12-31
군포대야미,A-2,경기도 군포시 대야미동,행복주택,508,2028-12-31
경산대임,A1,경상북도 경산시 임당동,통합공공임대,440,2028-12-29
경산대임,A2,경상북도 경산시 임당동,통합공공임대,522,2027-10-31
경산대임,A3,경상북도 경산시 임당동 사업계획 승인 신청,통합공공임대,874,2029-01-30
경산대임,A9,경상북도 경산시 임당동,공공분양,463,2028-12-30
경산대임,A9,경상북도 경산시 임당동,공공임대(6년),238,2028-12-30
경산대임,B1,경상북도 경산시 임당동,공공분양,256,2028-10-31
부천종합운동장 역세권,A1,경기도 부천시 원미구 춘의동 소사로 482 일원,통합공공임대,293,2028-03-31
안산신길2,A-6,경기도 안산시 단원구 신길동 191-1 일원,공공분양,252,2029-02-28
안산신길2,A-6,경기도 안산시 단원구 신길동 191-1 일원,행복주택,126,2029-02-28
안산신길2,B-1,경기도 안산시 단원구 신길동 191-1 일원,공공분양,387,2029-02-28
안산신길2,A-13,경기도 안산시 단원구 신길동 191-1 일원,공공분양,335,2027-12-31
안산신길2,A-13,경기도 안산시 단원구 신길동 191-1 일원,행복주택,168,2027-12-31
안산신길2,A-24,경기도 안산시 단원구 신길동 191-1 일원,공공분양,474,2027-12-31
구리갈매역세권,A-2,경기도 구리시 갈매동,통합공공임대,362,2029-01-31
구리갈매역세권,A-3,경기도 구리시 갈매동,공공임대(6년),287,2028-09-30
구리갈매역세권,A-5,경기도 구리시 갈매동,행복주택,566,2028-12-31
구리갈매역세권,A-4,경기도 구리시 갈매동,공공분양,251,2028-08-31
구리갈매역세권,A-4,경기도 구리시 갈매동,공공임대(6년),310,2028-08-31
구리갈매역세권,A-1,경기도 구리시 갈매동,공공분양,1182,2027-10-31
구리갈매역세권,A-1,경기도 구리시 갈매동,행복주택,609,2027-10-31
의왕월암,A1,경기도 의왕시 월암동 일원,공공분양,446,2027-11-30
의왕월암,A1,경기도 의왕시 월암동 일원,행복주택,228,2027-11-30
의왕월암,A3,경기도 의왕시 월암동 일원,공공분양,424,2028-04-28
의왕월암,A3,경기도 의왕시 월암동 일원,행복주택,218,2028-04-28
성남금토,A4,경기도 성남시 수정구 금토동 일원 성남금토지구,공공분양,766,2027-06-30
성남금토,A4,경기도 성남시 수정구 금토동 일원 성남금토지구,행복주택,384,2027-06-30
성남금토,A2,경기도 성남시 수정구 금토동 일원,국민임대,438,2026-12-31
성남금토,A2,경기도 성남시 수정구 금토동 일원,영구임대,195,2026-12-31
부천원종(공공주택),A1,경기도 부천시 오정구 원종동,행복주택,422,2026-04-30
부천원종(공공주택),A2,경기도 부천시 오정구 원종동,행복주택,472,2026-06-30
부천괴안(공공주택),A1,경기도 부천시 소사구 괴안동,행복주택,499,2027-12-31
화성어천(공공주택),A4,경기도 화성시 매송면 숙곡리 어천리 일원,통합공공임대,623,2028-08-04
울산태화강변,A2,울산광역시 울주군 범서읍 일원,공공분양,277,2027-07-30
울산태화강변,A2,울산광역시 울주군 범서읍 일원,공공임대(6년),158,2027-07-30
울산태화강변,A1,울산광역시 울주군 범서읍 일원,영구임대,58,2027-12-31
울산태화강변,A1,울산광역시 울주군 범서읍 일원,행복주택,266,2027-12-31
김포고촌2,A1,경기도 김포시 고촌읍 447-13번지 일원,공공분양,262,2027-07-31
김포고촌2,A1,경기도 김포시 고촌읍 447-13번지 일원,통합공공임대,88,2027-07-31
인천가정2,A2,인천광역시 서구 가정동 58-2번지 일원,공공분양,534,2026-12-31
인천가정2,A2,인천광역시 서구 가정동 58-2번지 일원,행복주택,267,2026-12-31
인천가정2,B2,인천광역시 서구 가정동 58-2번지 일원,공공분양,308,2028-03-30
부여동남(마을정비형),1,충청남도 부여군 부여읍 52 일원,국민임대,100,2027-12-31
