연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2023-04,전북,244,45,(△199),389,1212,3.12
2023-05,서울,154,5042,32.74,173,14222,82.21
2023-05,부산,462,65,(△397),510,1209,2.37
2023-05,대구,0,0,0.00,34,10,(△24)
2023-05,인천,0,0,0.00,50,31,(△19)
2023-05,광주,282,290,1.03,621,8400,13.53
2023-05,울산,118,6,(△112),75,39,(△36)
2023-05,경기,688,4416,6.42,1076,45499,42.29
2023-05,충남,176,11,(△165),182,164,(△18)
2023-05,경남,20,0,(△20),25,0,(△25)
2023-05,제주,0,0,0.00,136,16,(△120)
2023-06,서울,184,9489,51.57,205,25067,122.28
2023-06,부산,1533,2074,1.35,1537,21156,13.76
2023-06,인천,332,897,2.70,223,7980,35.78
2023-06,광주,337,198,(△139),440,4792,10.89
2023-06,울산,160,4,(△156),192,24,(△168)
2023-06,경기,2630,935,(△1695),2943,12711,4.32
2023-06,강원,529,43,(△486),623,458,(△165)
2023-06,충북,590,331,(△259),343,2288,6.67
2023-06,충남,884,463,(△421),963,11546,11.99
2023-06,제주,0,0,0.00,425,115,(△310)
2023-07,서울,243,7687,31.63,546,52570,96.28
2023-07,부산,33,4,(△29),35,34,(△1)
2023-07,인천,669,137,(△532),1051,1327,1.26
2023-07,대전,0,0,0.00,63,81,1.29
2023-07,경기,880,2615,2.97,821,20914,25.47
2023-07,강원,1473,1005,(△468),1646,19219,11.68
2023-07,충남,198,2,(△196),66,62,(△4)
2023-07,전북,158,739,4.68,110,9393,85.39
2023-07,경북,29,0,(△29),38,1,(△37)
2023-07,경남,450,132,(△318),899,2799,3.11
2023-07,제주,0,0,0.00,40,12,(△28)
2023-08,서울,953,17764,18.64,1036,55881,53.94
2023-08,광주,335,142,(△193),613,3977,6.49
2023-08,대전,648,5700,8.80,705,48415,68.67
2023-08,경기,560,450,(△110),700,1305,1.86
2023-08,전북,117,17,(△100),216,1012,4.69
